Area,Age,Number of Rooms,Bedrooms,Area Population,Price,Address
58828.04,7,9,6,44277.30064,1652845.98,"2260 Torres Crest
Lopezburgh, AK 74728"
53161.83,5,9,4,30535.2556,725830.60,"196 Robinson Ways Apt. 994
Toddmouth, PW 54975"
79361.03,5,7,3,53875.28901,1378863.69,"9881 Olson Drive
Alexanderbury, PA 91436-2120"
58325.70,6,7,6,31256.22333,1003941.93,"1535 Debra Expressway Suite 755
Moonmouth, AL 23444"
55772.90,6,7,2,41638.65687,729882.62,"1968 Estes Turnpike Suite 663
South Carriefurt, NY 13185-2445"
71893.43,6,7,3,40364.19315,1270047.53,"05664 House Tunnel
New Morganshire, MT 38939"
75922.89,7,6,2,49458.66507,1695706.13,"86827 Castaneda Trail Suite 315
Lanceville, UT 64420-1882"
54648.29,6,8,4,20270.54195,714822.59,"80371 Timothy Views
Abigailborough, MN 16645"
71857.57,6,6,4,52563.97982,1462899.03,"9817 William Drives Apt. 676
Port Michaelmouth, IL 88737"
67424.19,5,8,6,32412.84314,1127260.13,"23133 Parker Spur
Brianland, ID 10645"
70564.86,5,7,5,38376.46825,1014226.30,"3862 Jones Plains Suite 613
Lake Linda, ME 52695"
74237.26,5,5,4,37651.01453,852982.56,"238 Samuel Haven
South Michael, AL 99621"
58004.27,5,8,6,29182.7206,830286.71,"43128 King Branch Apt. 349
Mckeeview, NC 89358-6768"
101928.86,5,9,4,22804.99194,1938866.49,"856 Harris Centers Suite 940
Nicholasport, IL 91064-1080"
55809.49,7,6,4,49001.90125,1247645.41,"748 White Underpass
West Michael, CT 11080-9522"
48357.06,5,8,3,45206.72551,813415.13,"7278 Wiggins Square
South Nathan, FL 72804"
65017.75,5,6,2,26910.32075,679373.40,"319 Denise Run
Stephenview, PW 77941-4444"
66949.00,5,6,3,30323.73988,814879.21,"402 Steven Greens
East Terrence, FM 76774"
82848.56,6,6,4,40338.11037,1489540.14,"66118 Torres Pike Apt. 446
West Kevinland, ME 01431-0177"
65851.26,7,7,5,36110.06309,1468738.76,"5412 Smith Ports Apt. 902
West Jonstad, PA 43101-8130"
93579.12,6,6,4,38977.93739,1859883.66,"258 Cummings Burg Apt. 469
North William, NC 21455-3269"
76114.16,7,7,5,42601.8153,1558758.80,"674 Todd Ports
Parsonschester, VA 49485-9488"
84289.80,8,8,4,42768.4581,2120888.35,"3999 Laura Lakes
Barnesport, FM 49833"
57715.54,6,8,5,19844.17257,790598.83,"11190 Robinson Extension
Fieldsfort, CA 51614-8941"
85825.86,7,6,3,13983.30125,1137465.34,"546 Mitchell Village Suite 737
Lake Vincent, OH 05404-1179"
62765.29,8,7,4,22272.18604,1369753.28,"31651 Hale Walks
Port Henryfort, UT 45989"
70205.72,6,9,5,26973.43343,1433221.12,"0247 Kenneth Burg
Port Angelica, WI 77878-6142"
66595.66,5,7,3,42385.40082,1373048.10,"7793 Bradley Trail Suite 924
Nicholschester, OK 05492-7126"
64303.64,6,7,3,20214.598,941950.58,"43275 Knight Walks Apt. 856
Jamesville, FL 18420-6564"
57358.62,7,7,3,22061.58541,948279.94,"16028 Sarah Isle Suite 386
East Clifford, PW 67999-0591"
74216.13,6,7,3,45068.59934,1365036.08,"5976 Amanda Grove
Ritterport, SD 08541-1686"
68503.49,4,8,4,34699.25818,1289082.36,"80906 Michael Grove Apt. 103
South Denise, KS 86144"
55481.29,6,10,3,42179.67004,1398979.25,"20960 Leonard Loaf Apt. 902
South Lisabury, MA 55466"
75266.00,8,7,5,13108.01789,1559678.61,"PSC 8409, Box 5628
APO AA 76710-9573"
68854.09,7,8,5,37482.54576,1485677.06,"8938 Jose Lodge
Emilyside, CO 97593-5472"
74854.10,5,8,4,50538.01354,1553592.98,"041 Claire Glens
Samanthaside, KS 70716-5226"
54634.32,6,8,6,41564.0063,1179278.09,"572 Kayla Port Suite 910
New Catherine, UT 56845"
57098.20,8,6,2,42721.28569,1262465.99,"7928 Evans Inlet
Port Sherriland, SC 82783"
68035.56,6,9,4,34174.74428,1663509.39,"05890 Robin Brook Suite 649
East Bethton, MI 72561"
63128.61,5,7,3,39536.8097,930011.57,"065 Helen Oval Apt. 756
Kathrynborough, UT 72714-6759"
62937.05,6,9,3,38082.48344,1584167.85,"678 Howe Lights
East Bryan, OR 66067"
82915.91,7,8,5,50445.64737,2185480.09,"38531 Anna Estates Apt. 937
Kevinfurt, AZ 71789"
70138.53,6,7,4,44684.73719,1529028.71,"67263 Garrett Knoll
Hineshaven, IN 52693-6366"
75611.47,6,7,6,22047.19911,998240.85,"576 Moore Stravenue
Stephaniemouth, OK 66676"
42822.31,7,5,3,29670.20231,513215.99,"43074 Armstrong Wall
West Timothychester, NH 29497-5681"
60145.23,7,8,5,25198.78667,1136448.41,"USNS Reyes
FPO AA 35029"
87853.85,7,8,6,42302.261,1898668.84,"22912 Taylor Island
Brianside, MA 36738-0637"
66392.57,5,8,5,26623.18416,1255576.27,"614 Leah Row Suite 729
Marissastad, NM 00794"
58204.22,6,7,5,46663.40274,1367641.27,"97004 Gutierrez Greens Apt. 332
East Deniseview, RI 21012-8300"
88244.61,7,9,3,25791.99499,1788285.24,"61508 Taylor Turnpike Suite 751
North Sherry, SC 21980-1722"
68737.60,5,8,6,34216.69172,1230363.23,"46722 Avila Ford
Lake Sharonland, NY 80569"
56423.03,5,8,3,40155.74285,1000216.86,"460 Morales Islands Apt. 118
West Jeffrey, NE 35494"
66678.06,4,7,5,23031.17032,587007.84,"827 Ferguson Isle
Rosebury, AL 61416-3167"
71517.01,8,8,5,40239.28257,1734373.04,"653 Parker Overpass Suite 506
Susanshire, AZ 00328"
66097.62,4,6,4,37467.59631,762167.25,"41962 Castro Groves Suite 053
Jacquelinestad, PW 32378"
76423.32,8,8,5,24402.23731,1532845.72,"66807 Johnson Prairie Apt. 849
Hernandezhaven, NE 29672"
72660.16,5,6,4,48711.5547,1243501.65,"98734 Sharp Shoals Apt. 825
North Sharon, CA 40445-0695"
92787.28,5,7,2,36590.45042,1628878.09,"2574 Richardson Trail
Villarrealland, MD 90258-8822"
78535.64,7,7,3,44280.07606,1767330.93,"7069 Barajas Brooks
Martinezbury, VA 51924"
58110.57,6,7,2,49355.97879,1308752.50,"97379 Erin Tunnel Suite 230
Wilsonside, CA 62038-2300"
71614.59,6,8,4,29922.1702,1311681.42,"914 Ramirez Valleys
East Mark, NM 09382"
76813.78,7,7,3,31822.48585,1567368.29,"4134 Susan Fords
Port Andreatown, DE 39559-2783"
73508.36,6,7,3,34894.57633,1126821.11,"8580 Caleb Rapid Suite 109
Karenchester, AL 04190-4237"
63805.70,7,6,4,48433.82079,1473761.53,"9731 Bryan Estate
North Teresafort, MA 43089-0152"
67651.53,6,6,4,50823.45978,1366000.57,"12163 Carter Shoals Apt. 326
Deckerland, SD 16294"
69086.61,6,9,6,39890.29704,1677612.44,"7303 Amber Locks Suite 812
North Kelly, IN 94856-6427"
93822.31,7,7,3,28555.78775,1789973.21,"16991 Theresa Trace
Port Matthewshire, NC 66272"
89808.63,7,8,3,30847.09161,1961715.87,"114 Michael Wall Apt. 387
Lake Taylor, ND 17489"
64896.62,6,5,2,33201.07787,673225.11,"4363 Tara Bridge Apt. 728
Rivasfurt, ND 04123"
61853.86,7,8,4,23811.23365,1230391.47,"PSC 1123, Box 2566
APO AE 12036-0836"
64205.86,6,6,2,48649.61039,1124818.11,"96480 Taylor Mews Apt. 138
New Justinmouth, PA 25004"
74872.36,7,7,3,20068.15522,1090996.14,"933 Morgan Via Apt. 871
Nicolebury, AL 14624"
81980.59,6,8,3,41393.59402,1570154.41,"79023 Ramirez Isle
East Jeffreyborough, CT 45650-3126"
52801.98,6,6,3,21518.04492,685123.14,"962 Brandon River Apt. 829
South Jamie, GU 95398"
54510.20,5,9,4,20211.43699,845553.37,"713 Anderson Lights Suite 346
North Katie, FM 72098"
61868.61,6,5,3,34967.07563,974805.99,"76329 Eric Mount Suite 495
Whiteville, AS 79813"
63655.18,8,7,3,16409.11628,1247660.99,"960 Ferguson Ports Suite 436
Lake Denise, OK 51103-4597"
86031.51,5,7,5,35417.76965,1381417.25,"519 David Ways Apt. 059
Port John, PW 73151-6724"
72748.51,7,9,6,40137.50244,1726364.40,"231 Rodriguez Extensions
Ramirezview, UT 82819-9826"
61839.77,8,6,3,26064.82032,961539.06,"PSC 9596, Box 0250
APO AE 81289"
76519.68,6,7,2,28961.42776,1359978.16,"117 Harper Harbor Apt. 891
North Harry, TN 24136"
76774.86,6,6,2,34313.8277,1384466.44,"604 Angela Crescent
West Timothy, MP 45493"
76659.75,6,7,6,41717.72069,1531447.29,"9224 Phillips Villages
Jamesbury, DC 07921"
71371.43,6,5,3,52265.60116,1418595.73,"98797 Miller Manor
Kristinmouth, ID 05829"
83460.87,6,7,2,31385.46298,1476387.00,"Unit 3589 Box 1542
DPO AA 16271-0224"
74740.73,6,6,4,29954.61762,1168355.32,"3777 John Canyon Suite 968
Amberborough, WA 31105"
70229.02,7,8,6,28829.00883,1222701.01,"238 Turner Cliffs Apt. 239
Amyburgh, PA 71224-5090"
72950.86,5,5,4,38711.03466,987447.78,"84076 Anderson Hills Apt. 983
South Justin, OK 66516"
58515.95,6,6,4,33776.47845,982790.87,"22469 Amy Valleys
Edwardsberg, MD 02773"
52207.44,5,7,5,21095.58569,527749.40,"97665 Clark Roads
Brianmouth, ND 02995-1068"
72821.25,6,7,5,40594.0593,1391232.53,"5869 Suarez Locks Suite 297
East Jonathanton, DE 82931"
66250.32,5,8,3,24201.75308,1094321.88,"63443 Wesley Haven Apt. 970
Maryburgh, CO 32233"
74275.50,6,8,6,38535.72643,1610217.18,"7587 Mcdonald Common Apt. 738
Elliottshire, DE 90107"
81167.44,8,6,5,28713.96202,1768705.13,"372 Angela Summit Apt. 043
New Tiffany, NJ 35579"
56119.33,8,7,4,36041.27531,1236258.08,"334 Robert Inlet
Thomasshire, CO 09495"
84998.46,6,6,4,28623.41032,1329007.20,"173 Heather Extensions
Peggybury, AS 89149-2125"
69604.43,7,8,6,40684.07772,1704126.88,"50340 Parker Islands Apt. 276
North Alexis, NV 71995-9163"
70775.43,6,7,3,40561.29711,1321888.27,"0965 Walker Port
East Jennifer, MN 53589"
66236.84,7,5,3,38906.85736,1113936.64,"2929 Rodriguez Pine
North Gregoryland, WY 79081"
57451.87,5,8,5,38532.98003,1043628.37,"146 Margaret Drive
East Taylor, AR 62664"
66293.88,7,7,6,48877.50097,1663653.71,"76518 Kristen Expressway
Bennettstad, NE 55780-9958"
69100.99,4,6,2,46139.13676,969678.57,"USNS Chaney
FPO AP 87928"
75729.77,6,8,4,29996.01845,1183014.51,"11252 Waters Expressway Suite 333
Savannahtown, WA 87924-9404"
58599.62,6,7,3,26569.65872,957814.60,"2590 Warren Walk
Robertsport, NY 09253-2552"
59498.08,6,7,3,25401.10188,912891.68,"09767 Alvarado Rest
Donnaland, MP 95960"
72409.67,6,8,6,40605.96743,1479758.32,"098 Melton Cliffs Apt. 580
Madisonmouth, SC 04285"
69316.80,6,8,4,24448.21146,1431507.62,"PSC 3490, Box 0556
APO AE 04921"
68656.91,7,9,6,43833.85344,1747911.50,"6258 Shirley Lock Suite 916
North Craig, HI 86453-3624"
71240.25,6,9,5,42566.50177,1563083.34,"1191 Tate Islands Suite 460
Smithtown, ME 11150-3233"
73223.94,5,8,6,41113.00677,1425745.30,"154 Lee Tunnel
Smallland, NC 15747-5815"
60968.33,6,6,4,28483.81174,804453.87,"0542 Brandon Mountain
Silvafurt, NE 88050-3603"
65935.61,5,8,4,36262.4269,1060440.60,"7168 Morgan Viaduct
West Paulchester, KY 61596"
62773.52,4,7,4,41389.36487,954737.14,"1880 Samuel Fork Suite 830
Lake Elizabethfort, UT 41369-0237"
69304.57,5,7,3,29465.99961,1152604.14,"326 Isaiah Isle
Stevenfort, UT 18732"
73219.00,4,6,4,31619.5817,955943.81,"232 Andrade Cliffs Apt. 325
Lewismouth, VI 87172-1000"
63787.54,5,6,3,22449.534,433247.16,"4619 Doyle Causeway
New Gilbert, WY 70871-5578"
76613.08,7,7,6,43250.98997,1718876.80,"2499 George Stravenue
New Pamela, AK 46876"
64461.39,8,7,2,34210.93608,1236874.81,"24231 Woods Alley Apt. 225
Ralphfurt, PA 09827-4337"
41533.01,7,5,4,31685.40269,682200.30,"059 Morris Summit
New Whitney, NY 73137"
79575.64,5,6,4,31050.10281,1141916.53,"4827 Kelsey Glen Suite 220
Michaeltown, MD 34529"
82185.47,5,5,4,29258.98876,1162735.27,"Unit 4395 Box 2223
DPO AE 68423-9498"
69853.42,7,8,6,41913.6369,1681340.64,"8408 Lam Mountains
Robertside, SD 61154-0104"
51519.62,7,6,4,43258.6446,945981.53,"15429 Janice Lock
Jessicaville, MD 71946"
48616.86,7,7,4,29770.08343,854045.01,"69330 Vasquez Square Apt. 177
West Douglasland, NV 48332"
63324.58,8,6,4,43281.57274,1372994.29,"PSC 5511, Box 3978
APO AA 43113"
65016.22,3,8,6,15902.58202,414571.22,"584 Rick Cove
Leeberg, ND 15540-8557"
76855.87,5,6,2,45388.31358,1240319.69,"6948 Michelle Tunnel
South Christopherville, NM 47337-9117"
75302.08,7,8,4,42382.75153,1640646.67,"63283 Simmons Meadows Apt. 194
North Amandaville, MO 55928"
69438.70,6,7,4,57775.26139,1537335.90,"898 Craig Ridge Apt. 204
Coryfort, GA 66710-2535"
75764.20,5,7,2,36712.20014,1337966.93,"97282 Moore Knoll Suite 107
West Megan, AS 39793-7339"
68814.93,5,5,3,42285.98468,1085113.45,"49682 Brett Square
New Andrea, NH 32549"
60912.32,6,6,4,20915.81605,905328.77,"2378 Christine Oval
North Michaelborough, CT 83476"
41007.46,5,6,3,39526.56631,494742.54,"682 Lara Hollow Suite 021
South Shannonmouth, KY 33314-3669"
61949.88,6,6,2,42092.88416,1237360.72,"50415 Julia Lane Apt. 645
Lake Emilyfort, KY 92027-9820"
67421.67,5,8,6,20167.03999,864899.49,"9641 Jackie Brook
Timothyshire, PW 16107"
68428.39,5,6,3,31074.12492,1002192.58,"3228 Kathy Shores Suite 923
North Nathaniel, RI 37530"
61839.65,6,7,4,17244.97025,800110.12,"802 Lauren Locks
Scotttown, KY 33922-1795"
62835.26,7,7,5,50097.95083,1410331.83,"2144 Jackson Path Apt. 300
Charleneland, NM 58522"
72485.20,4,6,2,43134.03806,1036382.77,"1608 Andrews Rest Apt. 672
Richardshire, IN 92603"
60945.72,5,6,3,34162.95673,437146.02,"53074 Alexis Village Apt. 437
Floydland, DC 23157"
83729.79,4,5,3,12906.25485,624432.97,"914 Beasley Pines Suite 756
Lake Phillip, VA 85426"
57605.80,7,6,2,49411.4113,1179440.83,"USS Thomas
FPO AA 60174-6263"
75358.48,9,7,3,21319.9943,1740404.97,"84910 Lloyd Green Apt. 744
Lake Lynn, AK 73257-6707"
53927.41,5,6,3,37875.55012,706135.14,"880 Lee Groves Suite 157
West Jeffrey, HI 92567-7167"
60776.39,7,6,4,28318.75042,870252.41,"698 Julie Shoals Suite 296
Christensentown, WI 62082"
69648.51,5,7,3,36038.95905,1106149.69,"66285 Drake Hollow Suite 740
New Shannonhaven, VA 07026-9938"
59295.68,5,8,4,46784.53859,1192677.55,"5115 Anderson Plains
Wilkinsonbury, ND 95001-4548"
97548.31,5,7,3,39089.41571,2026303.10,"349 Sean Forges
Whitakerville, WY 85138-4153"
61688.68,7,8,6,35552.99118,1311473.32,"Unit 6166 Box 9012
DPO AA 29420-5875"
72469.54,6,8,3,27227.81339,1123386.53,"69260 Brenda Overpass Apt. 620
Port Nicolestad, UT 49247"
76048.37,7,8,6,22469.52253,1205750.23,"981 Melanie Route Suite 924
South Johnny, VA 94359-3209"
79186.45,6,9,6,17840.11679,1582140.06,"448 Middleton View
Jenniferton, GA 83163-3132"
49220.04,5,6,2,46981.9261,573434.66,"90759 Beth Manors Apt. 532
Williamport, RI 50228"
80040.17,6,8,6,29699.01164,1735826.01,"8337 Cody Fields Apt. 592
Tinafurt, GU 56684-5907"
51995.58,7,7,2,47073.79792,1052185.18,"019 Richard Mountain Apt. 282
East Melaniebury, IN 51530-5215"
52711.12,8,8,4,25594.16903,1151281.85,"36330 Rodriguez Cape Suite 137
East Ashleyshire, HI 61481-1240"
56934.46,8,8,3,37076.19846,1531216.89,"USCGC Sanchez
FPO AP 77447"
66760.70,6,6,3,42292.5646,1103352.60,"76265 Morris Walks
Lake Jamesland, MN 54821"
52376.61,5,4,2,34189.14346,308199.89,"951 Richard Ford Suite 733
Oneillside, NE 17071-7757"
70224.32,7,7,4,40274.16665,1423296.12,"236 Kramer Oval Apt. 169
New Crystal, NJ 58341"
62612.91,7,7,3,40789.82581,1315684.46,"027 Brandy Plaza Apt. 534
Hendricksmouth, PW 87092-1532"
80285.00,5,4,2,23457.1264,637951.91,"9488 Wood Hill
New Jesseton, IL 19753"
66811.70,6,5,2,33499.33275,1027191.03,"39656 Julie Ways
South Richardshire, WV 91991-0615"
51142.41,5,7,6,41872.64328,729678.63,"USCGC Williams
FPO AE 95935-4246"
90535.17,6,6,2,42249.32493,1676770.33,"9912 Anderson Bridge
Port Chad, NY 38307"
93185.81,6,7,2,23723.07475,1569121.92,"719 Yvonne Station
Patrickfort, MO 43725-2826"
70743.20,5,5,3,26897.71205,874969.70,"7526 Kara Club Suite 242
Deannabury, KY 79535"
56024.55,7,7,4,36215.96255,1172413.20,"428 Jacobs Overpass
Bradyville, NE 27399"
76224.73,6,5,2,50003.26101,1538985.19,"85934 Stephen Passage Suite 880
Kramermouth, KY 23168"
89671.02,4,9,5,15625.55284,1286572.98,"7557 William Plains
Tamarabury, PW 76806-8720"
89825.66,7,7,3,18598.25608,1646033.41,"09777 Ortega Drive
Leefort, AZ 98396"
61013.72,7,6,3,34771.65985,1147313.02,"33137 Amanda Shoals Apt. 794
Burnettview, MH 63625-7023"
63362.23,6,6,4,34971.82435,976483.58,"14640 James Freeway
Lake Nathanchester, HI 32651"
57086.37,6,7,4,39002.90125,1073350.04,"97843 Jessica Drive
Stephenborough, AL 57418-2908"
69044.94,4,6,4,34764.29222,1084255.68,"937 Singh Greens
Bakerfort, HI 27291"
81438.58,5,7,2,43340.29356,1432252.08,"1509 Courtney Islands Apt. 510
Port Kenneth, IN 97618"
78299.64,7,8,3,39298.23552,1676070.94,"60626 Lopez Circles
Jonathanberg, NV 15215"
87386.38,6,6,4,31735.76329,1580557.01,"59562 Edward Creek
Katherineborough, CT 42078"
83149.78,6,6,3,45985.94575,1549873.88,"0306 Hernandez Club Apt. 883
Aguirrechester, HI 88830"
94085.47,6,9,5,31011.36681,1989672.52,"61316 Julie Turnpike Suite 237
Williammouth, AL 52135-3954"
60710.16,5,8,6,44101.24053,1286980.81,"54528 William Streets Apt. 691
Anthonyhaven, IA 31543"
71309.25,8,8,4,32356.99738,1752967.61,"701 Michael Courts
Lake Diamondchester, ND 59260-2575"
93303.68,5,8,3,38162.61295,1529711.14,"8619 Brandon Coves
West John, SC 38987"
85631.08,6,9,4,42811.78159,1710612.03,"242 Scott Fork Apt. 801
West Brianhaven, AS 10256-3621"
51359.97,6,6,2,40796.67545,774009.55,"1939 Ortiz Springs
Rogersfurt, KY 08574"
75868.77,6,6,3,39295.70265,1536143.59,"37770 Travis Way Suite 466
East Cynthia, FM 20131-8633"
82733.05,6,8,6,39060.76508,1662939.10,"06954 Shane Fort
South Jamesfurt, RI 46652-5410"
67043.20,6,6,4,53738.6269,1443027.26,"60943 Travis Station Suite 213
Jacobton, NM 98775"
67037.27,6,7,3,41042.43087,1282258.09,"96065 King Loop Suite 246
Kylehaven, SC 68949-5123"
56696.51,7,9,3,26083.32069,1245967.80,"131 Weber Plain
South Brittney, KY 62380-9095"
65837.12,6,7,4,18249.7206,1025908.91,"098 Marissa Village Apt. 996
Tinatown, SC 06354-8234"
79477.87,6,7,3,30411.18439,1380070.45,"4638 Brown Ridges
East Victoria, WI 18252-6242"
55048.33,4,6,2,25092.6697,288708.91,"PSC 6367, Box 8767
APO AP 41574-6578"
80613.46,5,8,5,35692.27654,1247581.21,"09890 Jackson Circle Apt. 190
New Krista, AR 82878-0303"
76848.19,7,8,6,43978.25754,1767399.29,"1109 Poole Estate
New Kathryn, AR 21503"
83586.90,7,7,5,34277.63076,1588549.50,"6638 Patrick Mountains Apt. 899
Reedmouth, IN 33047"
86343.44,6,7,3,35780.35499,1685217.11,"6881 Michael Knolls
North Deborah, PA 22711-5716"
65846.17,6,7,3,28214.36355,928950.00,"12315 Johnson Corners Suite 788
West Tyler, WV 04839"
69577.14,6,8,5,48122.10195,1565931.19,"8363 Michael Manor
Welchbury, WY 49675"
61581.05,5,7,2,43070.51539,926882.92,"360 Gray Shore
North Cherylside, PR 98151-1382"
79097.13,6,8,5,43950.66238,1770616.93,"PSC 4708, Box 5599
APO AA 90727"
68988.29,6,8,4,28734.93792,1279353.93,"85057 Steven Common Suite 196
Jamesmouth, RI 95375"
46926.37,5,5,3,53820.13278,530764.67,"9551 Rhonda Inlet
West Jeffrey, AL 23901"
84708.41,8,8,4,28218.62328,1874895.60,"39963 Dustin Garden Suite 315
Porterport, FL 25335-2659"
79619.35,6,7,6,34605.39462,1422890.02,"33640 King Via Suite 489
North Michelleside, FL 74030-0766"
61795.48,7,7,4,40719.12679,1245788.30,"16804 Patrick Lodge Apt. 946
East Bradley, SD 93895"
54621.02,6,7,5,44500.35194,1248130.52,"8393 Raymond River
New Francisco, KY 28146-9843"
70153.88,7,7,4,31863.40005,1535564.55,"708 Ronald Lodge
Wallberg, NC 99284-2612"
79292.81,7,8,4,27772.67247,1709441.81,"7763 Anderson Summit
South Ashleyport, KS 30939-6959"
67348.10,5,9,4,52158.01714,1433260.23,"0942 White Key
Cynthiaborough, MN 74981-2216"
73355.69,7,8,6,28007.89573,1282758.90,"Unit 0474 Box 5567
DPO AA 77678"
68958.02,6,8,3,46682.34049,1682708.62,"Unit 0375 Box 5726
DPO AE 97365"
44088.27,8,6,2,31032.9203,624482.76,"71471 Mcgrath Passage Apt. 044
Mendezville, NV 28559-8349"
80650.40,5,8,6,54516.28746,1651684.77,"52214 Bruce Island
New Pamela, WY 80939-1528"
57945.32,5,7,3,23040.41358,768034.53,"95430 Leach Hollow
Gordonview, NE 01088-0293"
63625.81,5,6,2,35778.45867,1001876.61,"0285 James Crossroad Apt. 384
Jessicaview, TN 23865"
60684.04,7,8,6,42643.14291,1500821.47,"USS Cortez
FPO AP 24063-2965"
90160.69,3,6,2,34010.04983,1273988.48,"8934 Kristen Fall Suite 814
Gibbsview, DC 34096"
62016.08,5,7,2,48896.82012,1031046.37,"505 Gonzalez Villages
West Holly, HI 79586-9203"
79261.15,5,8,6,36128.9901,1508198.67,"64087 Chad Ford
Weissside, NE 91504"
49205.82,6,7,4,30395.77604,773996.48,"70252 Jones Track
North Carlaville, AK 16083"
84973.89,7,8,6,38072.39536,1723706.76,"PSC 8482, Box 8446
APO AE 38902"
80573.79,4,8,3,34411.86808,1260826.64,"1911 Kathy Creek Apt. 339
Lake Craigshire, DE 27255-4685"
71062.08,7,7,4,30770.84682,1367142.72,"333 Eric Avenue
Josephmouth, AS 16402"
85828.01,5,7,5,29248.28287,1303091.91,"4258 Johnson Square
New Christopher, GU 59235"
67868.80,7,6,4,32732.16105,1341870.35,"98552 Scott Street Apt. 104
Port Jennifer, RI 77598-1581"
72778.92,6,8,4,24559.01379,1188416.81,"17598 Dennis Brook
Greenton, WY 81859"
73304.90,5,8,6,24283.86989,1155077.13,"238 Delgado Center
East Charlotte, GU 19126-4603"
68025.57,5,7,4,35478.58299,1048969.49,"05581 Thompson Mountains
Lake Darlenefurt, NH 44102-3505"
81024.78,6,7,2,25837.86448,1319478.29,"02827 Alexis Landing
Rossside, GU 67047"
69289.18,5,6,4,40695.79786,1022408.90,"16295 Wood Motorway Apt. 541
Sandraview, IA 95516-8640"
72695.12,5,7,4,48115.42078,1394970.60,"459 Hays Squares
Isaacborough, MN 74557"
67568.93,5,8,4,36474.988,1183343.57,"86766 Susan Ridge Suite 556
East Theresamouth, MH 09051-0041"
76503.55,6,7,4,42154.3566,1259919.98,"6822 Pamela Centers Suite 537
Seanmouth, AZ 48832-2451"
66273.74,5,7,2,12950.56691,579585.70,"PSC 0675, Box 5018
APO AP 00437-2898"
57736.43,7,7,4,45688.1025,1591188.35,"5181 Michael Springs Apt. 305
Gomezport, UT 25664-2756"
73505.13,7,8,6,31536.84908,1437153.96,"6790 Kelly Flat
Yorkborough, OR 63137"
60537.87,5,7,3,31247.58047,851018.96,"702 Melissa Key
West Lisafurt, WV 54879"
66544.74,6,6,2,34141.69988,1321037.41,"568 Jennifer Falls Apt. 236
South Nicole, IN 15411"
60754.63,6,6,3,29425.4062,1112286.05,"9613 Edwin Mews
West Jacobfurt, MH 44303-7441"
86160.99,4,8,3,47757.31798,1509968.99,"Unit 5763 Box 7057
DPO AA 43894"
44577.15,8,7,5,27835.53654,959625.53,"2480 Preston Lane Apt. 815
Sandersfort, AK 98217-6991"
61951.49,5,7,6,38737.28386,1032180.38,"3484 Lee Meadow
North Tina, AS 81526"
79027.74,6,7,3,21387.62999,1232014.53,"785 Christina Drive
Darrylfurt, AZ 27606-0832"
69186.62,7,6,4,49505.7837,1575100.91,"5281 King Motorway
Tinafort, ID 72673"
84268.22,4,7,4,31182.38802,1257433.09,"03370 Angela Forge Apt. 416
South Charlesberg, WY 44653"
93719.47,7,8,5,39900.44995,2173808.63,"039 Allison Brooks Apt. 116
Jonesmouth, PR 96253-5344"
65218.35,6,7,5,34863.85935,1115549.27,"6478 Harris Bridge
New Rickeystad, UT 82195"
78169.52,6,5,3,44503.91741,1397956.20,"PSC 9170, Box 1232
APO AE 46839"
63907.72,5,8,4,28299.46331,1003905.06,"2001 Stephen Plains Suite 265
Jonesmouth, FL 96973"
74867.53,6,6,4,57841.21935,1614373.96,"PSC 8544, Box 1991
APO AA 54210-2865"
73950.98,6,7,2,30518.81801,1463367.82,"2568 Elizabeth Ferry Suite 833
Nelsonborough, KY 90566"
74158.86,4,8,3,32580.53936,966620.51,"7972 Snyder Fort Apt. 686
West Benjaminside, OH 81904-1054"
63280.71,7,8,3,43031.5617,1453663.25,"5889 Cindy Land Apt. 882
Port Johnside, PA 35545"
75869.24,6,8,5,32436.28634,1321388.62,"30865 Rollins Burgs Suite 242
Cortezland, HI 41003-9434"
61171.88,4,7,6,41919.9011,910512.64,"59631 Miles Wells
Lozanoview, GA 23655"
66120.42,6,8,5,28439.35889,1029354.50,"26319 Lisa Tunnel Apt. 076
Davidhaven, FL 69932"
79566.92,5,7,5,49311.75778,1608889.26,"536 Thompson Turnpike
West Toddfurt, VT 33903-0801"
84020.50,5,7,4,25975.50583,1458009.21,"371 Frank Squares
Smithshire, VA 41884"
83936.34,8,6,3,55471.78338,2198564.57,"02264 Rebecca Spur Apt. 938
New Tomburgh, NE 93284"
60007.14,7,6,4,47734.40706,1281777.58,"8611 Swanson Lodge Apt. 186
Conwaymouth, RI 31621"
60125.81,7,7,3,25424.03483,1196643.39,"5424 Lopez Hill Suite 805
North Sandra, CT 29555-5745"
70580.44,6,8,3,36626.70399,1578493.71,"1123 Price Rest
Patriciafurt, AR 17057-1938"
53029.35,4,7,2,34472.30374,430088.25,"58197 Anderson Squares Suite 899
Sarahburgh, MS 28271-3171"
55289.11,6,7,5,30773.25899,677988.26,"7808 Michele Meadows Suite 816
New Donna, CA 17319-8250"
71776.62,5,8,5,29802.46229,1085534.18,"20269 Elizabeth Course
Heatherside, NJ 41595-0901"
75999.70,6,7,4,35183.72026,1634781.27,"1503 Allison Freeway Apt. 398
Lake Gina, AS 58599-4858"
56265.97,6,8,3,40493.06398,1167449.99,"06789 Pollard Extensions Apt. 768
Danielville, MH 43252"
